Run name,Slip interval,Weathering rate parameter,Slope angle,Slope gradient,Intercept,Height of right column
tau40w-48,10000.0,1.5848931924611107e-05,50.8257947296,1.22724878788,1.33495618306,82.0,82.0
tau40w-46,10000.0,2.511886431509577e-05,46.7343097218,1.06244817307,0.0691333982473,73.0,73.0
tau26w-30,398.1071705534973,0.001,42.8484836728,0.927583197822,0.88023369036,64.0,64.0
tau32w-30,1584.893192461114,0.001,30.8418731839,0.597110602161,-0.203505355404,39.0,39.0
tau28w-44,630.9573444801937,3.9810717055349695e-05,58.5858411295,1.63735299565,0.508276533593,110.0,110.0
tau24w-38,251.18864315095823,0.00015848931924611126,58.023493086,1.60179563973,-0.272638753651,107.0,107.0
tau30w-38,1000.0,0.00015848931924611126,51.5277132438,1.25842120504,0.305744888023,87.0,87.0
tau30w-36,1000.0,0.00025118864315095795,46.2025866587,1.04288460017,1.84810126582,71.0,71.0
tau24w-36,251.18864315095823,0.00025118864315095795,56.6549078948,1.51974668959,-0.26582278481,102.0,102.0
tau40w-40,10000.0,0.0001,33.5621596181,0.663446855097,0.182083739046,44.0,44.0
tau32w-36,1584.893192461114,0.00025118864315095795,42.9978821575,0.932445982465,-0.693281402142,63.0,63.0
tau26w-36,398.1071705534973,0.00025118864315095795,54.1493553243,1.38395413115,0.754625121714,94.0,94.0
tau28w-42,630.9573444801937,6.309573444801929e-05,57.829133356,1.58976516674,0.270691333982,109.0,109.0
tau26w-38,398.1071705534973,0.00015848931924611126,56.012551273,1.48326175048,1.27653359299,97.0,97.0
tau32w-38,1584.893192461114,0.00015848931924611126,47.1911254005,1.07956629936,0.881207400195,73.0,73.0
tau24w-30,251.18864315095823,0.001,47.2208576183,1.08069064263,0.297955209348,71.0,71.0
tau30w-30,1000.0,0.001,32.5759809338,0.638936171809,1.7147030185,44.0,44.0
tau34w-30,2511.886431509582,0.001,29.7129073174,0.570688535314,0.104186952288,39.0,39.0
tau20w-30,100.0,0.001,54.0174593335,1.37726428869,0.657254138267,94.0,94.0
tau36w-38,3981.0717055349733,0.00015848931924611126,36.2775998947,0.733971286713,0.270691333982,50.0,50.0
tau22w-38,158.48931924611142,0.00015848931924611126,58.518332051,1.63302427406,0.316455696203,110.0,110.0
tau38w-42,6309.573444801937,6.309573444801929e-05,41.6043782866,0.887978206133,0.973709834469,59.0,59.0
tau22w-36,158.48931924611142,0.00025118864315095795,57.3971262316,1.5634836428,0.902629016553,107.0,107.0
tau36w-36,3981.0717055349733,0.00025118864315095795,32.5336467014,0.637896154284,0.00389483933788,43.0,43.0
tau20w-36,100.0,0.00025118864315095795,58.40862545,1.6260252372,0.444985394352,110.0,110.0
tau34w-36,2511.886431509582,0.00025118864315095795,37.6591365145,0.771749220588,-0.126582278481,52.0,52.0
tau34w-38,2511.886431509582,0.00015848931924611126,43.155129606,0.937589852925,-0.80817916261,63.0,63.0
tau20w-38,100.0,0.00015848931924611126,59.1848605245,1.67650825003,0.151898734177,110.0,110.0
tau38w-44,6309.573444801937,3.9810717055349695e-05,45.666661222,1.02354589592,1.39143135346,70.0,70.0
tau36w-30,3981.0717055349733,0.001,29.1878061494,0.558601845161,0.370983446933,37.0,37.0
tau22w-30,158.48931924611142,0.001,51.5943141442,1.26142882329,0.986368062317,85.0,85.0
tau38w-50,6309.573444801937,1e-05,56.0170801893,1.48351472772,0.267770204479,101.0,101.0
tau34w-40,2511.886431509582,0.0001,47.454574354,1.08957295446,-0.111002921129,73.0,73.0
tau20w-40,100.0,0.0001,59.5072118096,1.69815185798,0.17429406037,110.0,110.0
tau38w-32,6309.573444801937,0.000630957344480193,28.5530004311,0.54415403414,0.580331061344,36.0,36.0
tau22w-46,158.48931924611142,2.511886431509577e-05,59.4115649931,1.69168688417,0.664070107108,110.0,110.0
tau36w-46,3981.0717055349733,2.511886431509577e-05,53.8219637369,1.36742628508,0.732229795521,93.0,93.0
tau36w-48,3981.0717055349733,1.5848931924611107e-05,55.684681647,1.46510360667,1.00681596884,100.0,100.0
tau22w-48,158.48931924611142,1.5848931924611107e-05,59.4731737029,1.69584695427,0.671859785784,110.0,110.0
tau34w-48,2511.886431509582,1.5848931924611107e-05,57.4377588804,1.56592908941,0.754625121714,104.0,104.0
tau20w-48,100.0,1.5848931924611107e-05,59.5440780489,1.70065352175,0.631937682571,110.0,110.0
tau20w-46,100.0,2.511886431509577e-05,59.554005715,1.70132812771,0.519961051607,110.0,110.0
tau34w-46,2511.886431509582,2.511886431509577e-05,55.7240532492,1.46726796746,1.28627069133,97.0,97.0
tau38w-34,6309.573444801937,0.0003981071705534969,29.0759834782,0.556043964221,0.408958130477,37.0,37.0
tau36w-40,3981.0717055349733,0.0001,43.0288798773,0.933457891408,-0.791626095424,61.0,61.0
tau22w-40,158.48931924611142,0.0001,59.1124378887,1.67170168255,0.33106134372,110.0,110.0
tau40w-36,10000.0,0.00025118864315095795,28.4186315591,0.541118307311,1.60954235638,38.0,38.0
tau26w-40,398.1071705534973,0.0001,57.8359806873,1.59018679547,0.218111002921,106.0,106.0
tau32w-40,1584.893192461114,0.0001,50.7872054814,1.22556227298,0.49464459591,84.0,84.0
tau28w-34,630.9573444801937,0.0003981071705534969,47.1203776485,1.07689598409,0.783836416748,76.0,76.0
tau40w-38,10000.0,0.00015848931924611126,29.6934660243,0.570238798006,1.14508276534,39.0,39.0
tau30w-46,1000.0,2.511886431509577e-05,58.5560639955,1.63544161209,0.371957156767,110.0,110.0
tau24w-46,251.18864315095823,2.511886431509577e-05,59.4003013353,1.69092795247,0.424537487829,110.0,110.0
tau24w-48,251.18864315095823,1.5848931924611107e-05,59.4690180165,1.69556586845,0.517039922103,110.0,110.0
tau30w-48,1000.0,1.5848931924611107e-05,58.9147984844,1.6586874092,0.617332035054,110.0,110.0
tau26w-48,398.1071705534973,1.5848931924611107e-05,59.3973799048,1.69073119239,0.481986368062,110.0,110.0
tau32w-48,1584.893192461114,1.5848931924611107e-05,58.3142347468,1.62003810929,0.753651411879,110.0,110.0
tau40w-30,10000.0,0.001,27.847529311,0.528300794032,1.74975657254,36.0,36.0
tau32w-46,1584.893192461114,2.511886431509577e-05,57.8122321407,1.58872514921,0.268743914314,109.0,109.0
tau26w-46,398.1071705534973,2.511886431509577e-05,59.3002696104,1.68421000143,0.50535540409,110.0,110.0
tau28w-32,630.9573444801937,0.000630957344480193,42.1693689636,0.905770938382,0.990262901655,63.0,63.0
tau24w-40,251.18864315095823,0.0001,58.5525574719,1.63521674343,0.493670886076,110.0,110.0
tau30w-40,1000.0,0.0001,54.1912971471,1.38609038336,0.857838364167,97.0,97.0
tau28w-50,630.9573444801937,1e-05,59.3254376275,1.68589651633,0.674780915287,110.0,110.0
tau24w-32,251.18864315095823,0.000630957344480193,51.3719684237,1.25142216819,0.573515092502,85.0,85.0
tau30w-32,1000.0,0.000630957344480193,37.403909567,0.764665857986,0.371957156767,51.0,51.0
tau32w-34,1584.893192461114,0.0003981071705534969,37.2848167235,0.761377153921,-0.121713729309,49.0,49.0
tau26w-34,398.1071705534973,0.0003981071705534969,50.6542293347,1.21977190514,1.18889970789,83.0,83.0
tau40w-42,10000.0,6.309573444801929e-05,36.4447057921,0.738468659793,0.785783836417,50.0,50.0
tau28w-40,630.9573444801937,0.0001,55.8918937516,1.47654379944,0.939629990263,102.0,102.0
tau30w-50,1000.0,1e-05,59.2258063956,1.67923478246,0.677702044791,110.0,110.0
tau24w-50,251.18864315095823,1e-05,59.5134308716,1.6985734867,0.628042843233,110.0,110.0
tau32w-50,1584.893192461114,1e-05,59.1827472498,1.67636770712,0.118792599805,110.0,110.0
tau26w-50,398.1071705534973,1e-05,59.4719271043,1.69576262853,0.624148003895,110.0,110.0
tau30w-34,1000.0,0.0003981071705534969,42.8337637627,0.927105351932,0.453748782863,61.0,61.0
tau24w-34,251.18864315095823,0.0003981071705534969,53.8331843177,1.36798845671,0.877312560857,91.0,91.0
tau26w-32,398.1071705534973,0.000630957344480193,48.1943093607,1.11821559926,0.580331061344,74.0,74.0
tau32w-32,1584.893192461114,0.000630957344480193,33.5252406291,0.662519271899,-0.912366114898,44.0,44.0
tau40w-44,10000.0,3.9810717055349695e-05,42.8606006862,0.927976717966,0.676728334956,62.0,62.0
tau28w-46,630.9573444801937,2.511886431509577e-05,58.704879437,1.64502663846,0.888023369036,110.0,110.0
tau28w-48,630.9573444801937,1.5848931924611107e-05,59.2274927782,1.67934721678,0.55988315482,110.0,110.0
tau38w-48,6309.573444801937,1.5848931924611107e-05,54.1725442126,1.38513469158,-0.159688412853,93.0,93.0
tau38w-46,6309.573444801937,2.511886431509577e-05,51.0158760062,1.23559703666,0.260954235638,92.0,92.0
tau36w-32,3981.0717055349733,0.000630957344480193,29.4217196053,0.563970584276,0.286270691334,38.0,38.0
tau22w-32,158.48931924611142,0.000630957344480193,53.9757213742,1.37515614506,0.996105160662,95.0,95.0
tau20w-34,100.0,0.0003981071705534969,57.6331160363,1.57776280233,0.104186952288,107.0,107.0
tau34w-34,2511.886431509582,0.0003981071705534969,33.5353125727,0.662772249134,-0.819863680623,43.0,43.0
tau22w-50,158.48931924611142,1e-05,59.5155033827,1.69871402961,0.661148977605,110.0,110.0
tau36w-50,3981.0717055349733,1e-05,57.8081186375,1.58847217198,-0.000973709834452,110.0,110.0
tau20w-50,100.0,1e-05,59.5498698986,1.7010470419,0.630963972736,110.0,110.0
tau34w-50,2511.886431509582,1e-05,58.5121819499,1.63263075391,0.00097370983449,110.0,110.0
tau38w-40,6309.573444801937,0.0001,38.2538613959,0.788445718148,-1.00876338851,52.0,52.0
tau22w-34,158.48931924611142,0.0003981071705534969,56.2645440015,1.49742847568,0.456669912366,102.0,102.0
tau36w-34,3981.0717055349733,0.0003981071705534969,30.0458781094,0.578418395296,-0.0749756572541,39.0,39.0
tau34w-32,2511.886431509582,0.000630957344480193,29.2381082955,0.559754297013,1.30574488802,38.0,38.0
tau20w-32,100.0,0.000630957344480193,56.5009999762,1.51089248634,0.749756572541,102.0,102.0
tau38w-36,6309.573444801937,0.00025118864315095795,29.8935929469,0.574876713995,0.566699123661,39.0,39.0
tau36w-42,3981.0717055349733,6.309573444801929e-05,46.3326542555,1.04763495049,0.873417721519,72.0,72.0
tau22w-42,158.48931924611142,6.309573444801929e-05,59.1962676934,1.67726718173,0.657254138267,110.0,110.0
